Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2
n/a,"Sacaggi, G ",0,male,24,London,Assistant waiter, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bessant, E ",0,male,31,Southampton,Baggage master,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hartley, Wallace Henry",0,male,,"Colne, Lancashire",Bandmaster,,,,,"yes, buried Colne Lancashire",The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Klein, H ",0,male,33,Southampton,Barber,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Weikman, August H.",1,male,51,Southampton,Barber,,,,Collapsible C,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Price, E ",0,male,17,London,Barman, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Clarke, J. Fred C. ",0,male,,,Bass violist,,,,,"#202, Mount Olivet Cemetery, Halifax NS",The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Broom, H ",0,male,33,East Cowes,Bath steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Major, E ",0,male,35,London,Bath steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Morris, F ",1,male,28,London,Bath steward,,,,14,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Pennell, F ",0,male,33,Southampton,Bath steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Rule, Samuel J ",1,male,58,Southampton,Bath steward,,,,15,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hinckley, G ",0,male,35,Southampton,Baths,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Widgery, James",1,male,37,"Redland, Bristol",Baths,,,,9,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
