Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2
n/a,"Parsons, E ",0,male,35,Southampton,Chief storekeeper,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Kiernan, James W.",0,male,32,Southampton,Chief third class steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Ashcroft, A ",0,male,26,Cheshire,Clerk,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Campbell, D. S ",0,male,25,Southampton,Clerk,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Rice, J. R ",0,male,25,Crosby,Clerk,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Olive, E. R ",0,male,28,Southampton,Clothes presser,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Voegelin, H ",0,male,35,London,Coffeeman, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Farrendon, E ",0,male,32,Emsworth,Confectioner,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Jeffery, W ",0,male,28,Southampton,Controller, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Kennell, C ",0,male,30,Southampton,Cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Stubbings, H ",0,male,,"Woodside, Lymington",Cook and mess,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Creese, H.",0,male,44,Southampton,Deck engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Edge, F ",0,male,37,"Woolston, Hampshire",Deck steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Freeman, Ernest E. S ",0,male,43,Southampton,Deck steward,,,,,"#239, Fairview Cemetery, Halifax NS",Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"White, Alfred ",0,male,,,Electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Coutin, A ",0,male,28,Southampton,Entree cook, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Maynard, John",1,male,31,Southampton,Entree cook,,,,Collapsible B,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Kemp, Thos",0,male,43,Southampton,Executive fourth assistant engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Millar, R.",0,male,27,"Alloa, N. B.",Extra fifth assistant engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Davies, J ",0,male,27,Southampton,Extra second baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Burgess, Charles",1,male,18,Southampton,Extra third baker,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Lowe, Harold Godfrey",1,male,29,Southampton,Fifth officer,,"https://www.google.com/search?q=titanic+survivor+Lowe,+Harold+Godfrey&sxsrf=ALeKk02bKF3qkcRLkCxvKXikFFh0EQ-bHQ:1615051436194&source=lnms&tbm=isch&sa=X&ved=2ahUKEwiPq5e5l5zvAhWaPM0KHbweBvMQ_AUoAXoECBYQAw&biw=1143&bih=927#imgrc=niL_nzY2jffbfM",,14,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Abraham, C.",0,male,33,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Adams, R.",0,male,26,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Allen, H.",0,male,32,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bailey, G. W.",0,male,46,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Ball, W.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Barlow, C.",0,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Barnes, Chas",0,male,29,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Barnes, J.",0,male,29,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Barrett, F. W.",0,male,33,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Beauchamp, George",1,male,24,Southampton,Fireman,,,,13,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bendell, T.",0,male,24,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bennett, G.",0,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Benville, E.",0,male,42,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bessant, W.",0,male,39,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Biddlecombe, C.",0,male,33,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Biggs, E.",0,male,21,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Black, A.",0,male,28,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Black, D.",0,male,41,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Blackman, H.",0,male,24,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Blake, T.",0,male,36,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Blancy, J.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Blann, Eustace",0,male,21,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bradley, P.",0,male,29,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Brigge, W.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Brown, J.",0,male,25,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Brown, J.",0,male,25,Eastleigh,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Burroughs, A.",0,male,35,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Burton, E.",0,male,32,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Butt, W.",0,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Camner, J.",0,male,40,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Cherrett, W.",0,male,24,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Chorley, J.",0,male,25,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Clark, W.",1,male,39,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Coffey, John",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Collins, Samuel",1,male,35,Southampton,Fireman,,,,1,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Coombes, G.",1,male,21,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Cooper, H.",0,male,26,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Copperthwaite, B.",0,male,22,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Corcoran, D.",0,male,33,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Cotton, A.",0,male,26,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Couper, R.",1,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Crimmins, J.",0,male,21,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Cross, W.",0,male,39,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Cunningham, B.",0,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Curtis, A.",0,male,25,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Diaper, J.",1,male,25,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Dilley, J.",1,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Doel, F.",1,male,22,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Doyle, F.",0,male,27,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Dymond, Frank",1,male,25,Southampton,Fireman,,,,15,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Flarty, E.",1,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Fraser, J.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Geer, A.",0,male,24,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Godley, G.",1,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Golder, M. W.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Graham, T.",1,male,,Belfast,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Graves, S.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Grodidge, E.",0,male,32,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hagan, J.",1,male,,Southampton,Fireman,,,,Collapsible B,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hall, J.",0,male,32,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hallett, G.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hands, B.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hannam, G.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Harris, E.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Harris, F.",0,male,34,Gosport,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hart, Thomas ",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hasgood, R.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Head, A.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hodges, W.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hosgood, R.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hunt, T.",0,male,28,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hurst, C. J.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Instance, T.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Jacobson, John",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"James, Thos",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Jarvis, W.",0,male,37,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Joas, N.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Judd, C.",1,male,32,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Kasper, F.",1,male,40,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Kemish, George",1,male,,Southampton,Fireman,,,,9,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Kerr, T.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Kinsella, L.",0,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Lahy, T.",0,male,,E. Dulwich,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Light, C.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Light, W.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Lindsay, W.",1,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Lloyd, W.",0,male,29,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Major, W.",1,male,,Southampton,Fireman,,,,13,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Marrett, G.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Marsh, F.",0,male,28,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Mason, F.",1,male,32,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"May, Arthur",0,male,23,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Mayzes, T.",1,male,25,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McAndrew, Thos",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McAndrews, W.",0,male,,,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McCastlen, W.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McGarvey, E.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McGaw, E.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McGregor, J.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McQuillan, William",0,male,32,Belfast,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"McRae, William",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Milford, George",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Mintram, W.",0,male,46,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Moore, J.",1,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Morgan, T.",0,male,26,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Murdoch, W.",1,male,34,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Nettleton, G.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Noon, John",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Norris, J.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Noss, B.",0,male,21,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Noss, H.",1,male,31,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Nutbean, William",1,male,31,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Oliver, H.",1,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Othen, C.",1,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Paice, R.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Painter, Charles",0,male,31,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Painter, F.",0,male,29,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Pand, G.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Pearce, J.",1,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Podesta, J.",1,male,25,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Priest, John",1,male,23,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Pusey, Robert",1,male,24,Southampton,Fireman,,,,1,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Reeves, F.",0,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Rice, C.",1,male,32,Southampton,Fireman,,,,10,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Richards, H.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Rickman, G.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Roberts, G.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Sangster, C.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Saunders, T.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Saunders, W.",0,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Scott, Archibald",0,male,40,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Self, E.",1,male,25,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Senior, Harry",1,male,31,London,Fireman,,,,Collapsible B,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Shea, Thos",0,male,29,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Shiers, Alfred",1,male,24,Southampton,Fireman,,,,5,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Smith,",0,male,,,Fireman,,,,4,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Smither, H.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Snellgrove, G.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Sparkman, H.",1,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Stanbrook, Augustus",0,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Street, A.",1,male,25,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Stubbs, H.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Sullivan, S.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Taylor, J.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Taylor, James",1,male,25,Southampton,Fireman,,,,1,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Taylor, T.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Taylor, William Henry",1,male,28,Southampton,Fireman,,,,15,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Thomas, J.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Thompson, John",1,male,42,Liverpool,Fireman,,,,Collapsible A,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Thresher, G.",1,male,25,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Tizard, A.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Toung, F.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Triggs, R.",1,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Turley, R.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Vear, H.",0,male,32,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Vear, W.",0,male,32,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wardner, F.",0,male,39,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wateridge, E.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Watson, W.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Williams, E.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Witcher, A.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Witt, H.",0,male,40,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wyeth, J.",0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Young, Francis",0,male,30,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"May, A. W.",0,male,60,Northam,Fireman's messman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Knowles, T.",1,male,39,Lymington,Firemen's messman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Phillips, John George",0,male,25,London,First Marconi operator,,,,,"died on Collapsible B, buried at sea from Carpathia?",Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Murdoch, William McMaster",0,male,39,Southampton,First officer,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hume, John (Jock) Law",1,male,,,First violinist,,,,,"#193, buried Fairview Cemetery, Halifax NS",The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Vicat, J ",0,male,21,London,Fish cook, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Boxhall, Joseph Grove",1,male,28,Hull,Fourth Officer,,,,2,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Ashe, H ",0,male,32,Liverpool,G. H. steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Crispin, W ",0,male,32,Eastleigh,G. H. steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"White, J ",0,male,27,Portswood,G. H. steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
