,Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2,Home_Lat,Home_Lng
76,,"Pacherat, J ",0.0,male,19.0,Southampton,Assistant larder, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
77,,"Akerman, J ",0.0,male,35.0,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
78,,"Edwards, C ",0.0,male,38.0,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
79,,"Harris, E ",0.0,male,18.0,Winchester,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.059771,-1.310142
80,,"Levett, G ",0.0,male,21.0,New Southgate,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.61100099999999,-0.135469
81,,"Marks, J ",0.0,male,26.0,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
82,,"Marriott, J. W ",0.0,male,20.0,New Southgate,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.61100099999999,-0.135469
83,,"Smith, F ",0.0,male,,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
84,,"Wrapson, H ",0.0,male,19.0,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
85,,"Desvernini, L ",0.0,male,20.0,Southampton,Assistant pastry, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
86,,"Aspelagi, G ",0.0,male,26.0,London,Assistant plateman, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
87,,"Corben, E. T ",0.0,male,27.0,Southampton,Assistant printer,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
88,,"Holland, T ",0.0,male,28.0,Liverpool,Assistant reception room attendant,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
89,,"Cornaire, M ",0.0,male,19.0,London,Assistant roast, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
90,,"Hamilton, E ",0.0,male,25.0,Southampton,Assistant S. R. steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
